collected_videos_count,collection_time,influencer_id,id,nickname,followers,hearts
10.0,1674149347958.0,6.572670135864902e+18,im.lyy_,im.lyy_,58300.0,730000.0
10.0,1674149432979.0,6.574657885953933e+18,hoaa.hanassii,Đào Lê Phương Hoa,13600000.0,336200000.0
10.0,1674150266746.0,6.575501308337258e+18,anzzuuuuuuuu,Dương Vi,146500.0,2000000.0
10.0,1674150089176.0,6.575783074323726e+18,khvan19,Khánh Vân,1700000.0,37900000.0
10.0,1674148640244.0,6.576202515359678e+18,dzudzudzu206,Duong Tu Anh,44100.0,256400.0
10.0,1674148619543.0,6.57651692354211e+18,ennieph,Em Ennie hơi điệu,175000.0,940000.0
10.0,1674148451711.0,6.576575906994749e+18,vngtam28,𝓷𝓰𝓸𝓬 𝓽𝓪̂𝓶 🥴,393800.0,13000000.0
10.0,1674149112747.0,6.57668363407224e+18,somaly_nguyen,somaly_ng,2346.0,578.0
10.0,1674148512116.0,6.577256925581558e+18,tuyetofficial,TUYẾT Official,1200000.0,16400000.0
10.0,1674149103382.0,6.579289054637801e+18,drimwe,DRIM-WE,22.0,110.0
10.0,1674148620060.0,6.579989736419754e+18,djmievn,Dj Mie,7400000.0,117600000.0
10.0,1674149138423.0,6.581435115997676e+18,salimhwg,Sa Lim,241600.0,2400000.0
10.0,1674149019045.0,6.581704663565238e+18,millieduong,♡ 𝓶𝓲𝓵𝓵𝓲𝓮 ♡,5891.0,135200.0
10.0,1674149156178.0,6.582899188715045e+18,kiekhah,mia🤍,44900.0,448900.0
10.0,1674148860008.0,6.582992927303336e+18,msic.vn,Mom Says I’m Cool,123800.0,32400.0
10.0,1674148572538.0,6.586489593356747e+18,thuykieu_2802,Thúy Kiều,1900000.0,22300000.0
10.0,1674148832570.0,6.58736973768781e+18,mei.mei.19,Mei.Mei_,1028.0,23900.0
10.0,1674148664727.0,6.589915654500155e+18,mcthanhthanhhuyen,MC Thanh Thanh Huyền,729100.0,16700000.0
10.0,1674148686144.0,6.59022105601853e+18,tranghy.1603,tranghy.1603,1200000.0,7700000.0
10.0,1674148427276.0,6.591379314310316e+18,yoona.fandc,Yoona F&C,92400.0,974600.0
10.0,1674148883759.0,6.592475001760481e+18,khanhdol,Ngan Khanh,62500.0,158100.0
10.0,1674148602635.0,6.595874043294974e+18,phuonglytran,Phương Ly Trần,733300.0,7100000.0
10.0,1674148584346.0,6.597527643603632e+18,midu_official,Midu ,1700000.0,11100000.0
10.0,1674148589973.0,6.598729897500377e+18,huonggiangofficial,HƯƠNG GIANG,3300000.0,50700000.0
10.0,1674148547661.0,6.599104711944978e+18,nguyenhuongly.official,Nguyễn Hương Ly,4400000.0,48500000.0
10.0,1674148656505.0,6.599891741452435e+18,truoghoagmaianh,Trương Hoàng Mai Anh,161300.0,1300000.0
10.0,1674148700688.0,6.600634246393823e+18,hathu.official,HÀ THU,475100.0,5200000.0
10.0,1674148550573.0,6.600690235620901e+18,hong_leee,🍓 Hồng Lê 🍓,1400000.0,20300000.0
10.0,1674149259841.0,6.600776334510146e+18,dhoa133,Karlie 💖,514.0,7550.0
10.0,1674236373491.0,6.602945776003219e+18,chau.kim.sang,Chau Kim Sang,25400.0,339100.0
10.0,1674148909515.0,6.603126953161736e+18,thuydiary,Thuy Anh,3283.0,112200.0
10.0,1674148794533.0,6.60356178877037e+18,thuxbao_,THƯ PAO 🐻,578100.0,17200000.0
10.0,1674148745844.0,6.603892546077131e+18,chanreen_mise,Chanreen.mise,547.0,337.0
10.0,1674148648910.0,6.604030770477777e+18,liuuuliuu,Liuuuliuu,182100.0,1700000.0
10.0,1674148614850.0,6.604338143897584e+18,annetran020202,Mary-Anne Tran,29500.0,189000.0
10.0,1674149523541.0,6.604350649923305e+18,quanhbunny,Nguyễn Ngọc Quế Anh,108000.0,977200.0
10.0,1674148602018.0,6.606598425586942e+18,ruchandesign,Ruchandesign,3119.0,20800.0
10.0,1674149690601.0,6.606910073226166e+18,ameemee_m,AMEE,1700000.0,12200000.0
10.0,1674151120004.0,6.609170616770789e+18,gamkami,Gấm Kami,9800000.0,178800000.0
10.0,1674148849534.0,6.609863273024864e+18,hahongduyen,Hạ Hồng Duyên,22700.0,194400.0
10.0,1674148738239.0,6.610255069647176e+18,pukadv,Puka,2000000.0,13500000.0
10.0,1674150074168.0,6.61151685053712e+18,dieunhiofficial,Diệu Nhi,2800000.0,28400000.0
10.0,1674149229432.0,6.612464972659524e+18,thocahouse,THOCAHOUSE,142100.0,1700000.0
10.0,1674148570871.0,6.612495491697738e+18,phuongha96_,Phương Hà,62100.0,541500.0
10.0,1674148571360.0,6.613612575941149e+18,ngolanhuong04,Ngô Lan Hương,732800.0,11000000.0
10.0,1674150515726.0,6.613988756636828e+18,anvy.official,An Vy Official,696300.0,4600000.0
10.0,1674148605886.0,6.615587077970395e+18,ngoc_kara90,Ngọc Kara,251300.0,2200000.0
10.0,1674149058042.0,6.617276198220677e+18,nguyenlevi,𝗩💕,65800.0,454900.0
10.0,1674148674405.0,6.617670408237089e+18,daongoctran,Đào Ngọc Trân,54600.0,149000.0
10.0,1674148644896.0,6.619895630926627e+18,_mia.ngn,Mia Nguyen ✅,130500.0,2900000.0
10.0,1674148853434.0,6.623919425069367e+18,donganhquynhh,Dong Anh Quynh,180900.0,1900000.0
10.0,1674149085398.0,6.624362981134909e+18,junvu.official,JUNVU,527000.0,4100000.0
10.0,1674148611342.0,6.624402514270978e+18,khanhvanofficial,KhanhVanOfficial,1600000.0,40500000.0
10.0,1674149036289.0,6.624411365946671e+18,dramakinglndx,Linh Ngọc Đàm,5700000.0,114400000.0
10.0,1674148614088.0,6.625058993993908e+18,caliestore,CALIE Store,119.0,1101.0
10.0,1674148558693.0,6.625891573870002e+18,ilikeboutique,I.Like.Boutique,85.0,491.0
10.0,1674149244713.0,6.631755606493528e+18,buibichphuongofficial,Bích Phương,1100000.0,5100000.0
10.0,1674148724144.0,6.632280050790236e+18,maxyworkshop,MaxyWorkshop,1224.0,2028.0
10.0,1674235512453.0,6.632647583821251e+18,moxyshop,MOXY,155900.0,1500000.0
10.0,1674148688858.0,6.635788634045334e+18,vu.thanh.van,Vũ Thanh Vân,68800.0,980200.0
10.0,1674149221751.0,6.63623363800975e+18,kaityofficial,Kaity Nguyen,617400.0,3600000.0
